Customer_ID,Campaign,Family_Type,Accepted,Response,Complaint,Campaign_Cost,Campaign_Revenue,Campaign_Profit
1,Campaign 1,Children at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
2,Campaign 1,Children at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
3,Campaign 1,Children at home,1,0,0,10.606060606060606,36.36363636363637,25.75757575757576
4,Campaign 1,Adults at home,1,0,0,10.606060606060606,36.36363636363637,25.75757575757576
5,Campaign 1,Adults at home,1,0,0,10.606060606060606,36.36363636363637,25.75757575757576
6,Campaign 1,Adults at home,1,0,0,10.606060606060606,36.36363636363637,25.75757575757576
7,Campaign 1,Adults at home,1,0,0,10.606060606060606,36.36363636363637,25.75757575757576
8,Campaign 1,Adults at home,1,0,0,10.606060606060606,36.36363636363637,25.75757575757576
9,Campaign 1,Children at home,1,0,0,10.606060606060606,36.36363636363637,25.75757575757576
10,Campaign 1,Children at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
11,Campaign 1,Adults at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
12,Campaign 1,Children at home,1,0,0,10.606060606060606,36.36363636363637,25.75757575757576
13,Campaign 1,Children at home,1,0,0,10.606060606060606,36.36363636363637,25.75757575757576
14,Campaign 1,Children at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
15,Campaign 1,Adults at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
16,Campaign 1,Adults at home,1,0,0,10.606060606060606,36.36363636363637,25.75757575757576
17,Campaign 1,Adults at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
18,Campaign 1,Adults at home,1,0,0,10.606060606060606,36.36363636363637,25.75757575757576
19,Campaign 1,Children at home,1,0,0,10.606060606060606,36.36363636363637,25.75757575757576
20,Campaign 1,Children at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
21,Campaign 1,Children at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
22,Campaign 1,Children at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
23,Campaign 1,Adults at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
24,Campaign 1,Adults at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
25,Campaign 1,Adults at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
26,Campaign 1,Adults at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
27,Campaign 1,Adults at home,1,0,0,10.606060606060606,36.36363636363637,25.75757575757576
28,Campaign 1,Adults at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
29,Campaign 1,Adults at home,1,0,0,10.606060606060606,36.36363636363637,25.75757575757576
30,Campaign 1,Adults at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
31,Campaign 1,Children at home,1,0,0,10.606060606060606,36.36363636363637,25.75757575757576
32,Campaign 1,Adults at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
33,Campaign 1,Children at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
34,Campaign 1,Adults at home,1,0,0,10.606060606060606,36.36363636363637,25.75757575757576
35,Campaign 1,Adults at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
36,Campaign 1,Adults at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
37,Campaign 1,Adults at home,1,0,0,10.606060606060606,36.36363636363637,25.75757575757576
38,Campaign 1,Children at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
39,Campaign 1,Adults at home,1,0,0,10.606060606060606,36.36363636363637,25.75757575757576
40,Campaign 1,Adults at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
41,Campaign 1,Adults at home,1,0,0,10.606060606060606,36.36363636363637,25.75757575757576
42,Campaign 1,Children at home,1,0,1,10.606060606060606,36.36363636363637,25.75757575757576
43,Campaign 1,Children at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
44,Campaign 1,Children at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
45,Campaign 1,Children at home,1,0,0,10.606060606060606,36.36363636363637,25.75757575757576
46,Campaign 1,Adults at home,1,0,0,10.606060606060606,36.36363636363637,25.75757575757576
47,Campaign 1,Adults at home,1,0,0,10.606060606060606,36.36363636363637,25.75757575757576
48,Campaign 1,Children at home,1,0,0,10.606060606060606,36.36363636363637,25.75757575757576
49,Campaign 1,Adults at home,1,0,0,10.606060606060606,36.36363636363637,25.75757575757576
50,Campaign 1,Adults at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
51,Campaign 1,Children at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
52,Campaign 1,Adults at home,1,0,0,10.606060606060606,36.36363636363637,25.75757575757576
53,Campaign 1,Children at home,1,0,0,10.606060606060606,36.36363636363637,25.75757575757576
54,Campaign 1,Children at home,1,0,0,10.606060606060606,36.36363636363637,25.75757575757576
55,Campaign 1,Adults at home,1,0,0,10.606060606060606,36.36363636363637,25.75757575757576
56,Campaign 1,Adults at home,1,0,0,10.606060606060606,36.36363636363637,25.75757575757576
57,Campaign 1,Children at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
58,Campaign 1,Adults at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
59,Campaign 1,Adults at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
60,Campaign 1,Adults at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
61,Campaign 1,Children at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
62,Campaign 1,Children at home,1,0,0,10.606060606060606,36.36363636363637,25.75757575757576
63,Campaign 1,Adults at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
64,Campaign 1,Adults at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
65,Campaign 1,Children at home,1,0,1,10.606060606060606,36.36363636363637,25.75757575757576
66,Campaign 1,Adults at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
67,Campaign 1,Adults at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
68,Campaign 1,Children at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
69,Campaign 1,Adults at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
70,Campaign 1,Adults at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
71,Campaign 1,Adults at home,1,0,0,10.606060606060606,36.36363636363637,25.75757575757576
72,Campaign 1,Children at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
73,Campaign 1,Children at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
74,Campaign 1,Adults at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
75,Campaign 1,Adults at home,1,0,0,10.606060606060606,36.36363636363637,25.75757575757576
76,Campaign 1,Adults at home,1,0,0,10.606060606060606,36.36363636363637,25.75757575757576
77,Campaign 1,Adults at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
78,Campaign 1,Adults at home,1,0,0,10.606060606060606,36.36363636363637,25.75757575757576
79,Campaign 1,Children at home,1,0,0,10.606060606060606,36.36363636363637,25.75757575757576
80,Campaign 1,Adults at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
81,Campaign 1,Children at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
82,Campaign 1,Children at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
83,Campaign 1,Adults at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
84,Campaign 1,Children at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
85,Campaign 1,Children at home,1,1,0,10.606060606060606,36.36363636363637,25.75757575757576
